NLF001 SRR341616
NLF002 SRR341617
NLF005 SRR341618
NLF006 SRR341619
NLF007 SRR341620
NLF009 SRR341621
MH0192 ERR414512 ERR414511 ERR414231 ERR414230
MH0221 ERR414513 ERR414232
MH0222 ERR414514 ERR414233
MH0234 ERR414515 ERR414234
MH0238 ERR414516 ERR414235
MH0245 ERR414517 ERR414236
O2.CD1.0 ERR414633 ERR414352
O2.CD1.0.PT ERR414634 ERR414353
O2.CD2.0 ERR414635 ERR414354
O2.CD2.0.PT ERR414636 ERR414355
O2.CD3.0.PT ERR414637 ERR414356
O2.UC1.1 ERR414639 ERR414358
SRS011061 SRR060371 SRR060370
SRS011084 SRR062103 SRR062102 SRR061904 SRR061903
SRS011134 SRR060443 SRR060442
SRS011239 SRR059855 SRR059854
SRS011271 SRR061168 SRR061170
SRS011302 SRR060411 SRR060410

