HCO02 SRR1761722 SRR1761664
HCO07 SRR1761723 SRR1761665
HCO09 SRR1761666 SRR1761724
HCO11 SRR1761667 SRR1761725
HCO12 SRR1761668 SRR1761726
HCO53 SRR1761669 SRR1761727
HCO61 SRR1761670 SRR1761728
HCO64 SRR1761729 SRR1761671
HCO67 SRR1761730 SRR1761672
HCO70 SRR1761731 SRR1761673
HCO72 SRR1761732 SRR1761674
HCO74 SRR1761733 SRR1761675
SM01 SRR1761756 SRR1761698
SM02 SRR1761757 SRR1761699
SM03 SRR1761758 SRR1761700
SM05 SRR1761759 SRR1761701
SM11 SRR1761760 SRR1761702
SM18 SRR1761761 SRR1761703
SM20 SRR1761762 SRR1761704
SM23 SRR1761763 SRR1761705
SM24 SRR1761764 SRR1761706
SM25 SRR1761765 SRR1761707
SM28 SRR1761766 SRR1761708
SM29 SRR1761767 SRR1761709
SM30 SRR1761768 SRR1761710
SM31 SRR1761769 SRR1761711
SM32 SRR1761770 SRR1761712
SM33 SRR1761771 SRR1761713
SM34 SRR1761772 SRR1761714
SM37 SRR1761773 SRR1761715
SM39 SRR1761774 SRR1761716
SM40 SRR1761775 SRR1761717
SM41 SRR1761776 SRR1761718
SM42 SRR1761777 SRR1761719
SM43 SRR1761778 SRR1761720
SM44 SRR1761779 SRR1761721
