H1 SRR1927149
H10 SRR1929408
H11 SRR1929484
H12 SRR1929485
H13 SRR1929563
H14 SRR1930121
H15 SRR1929574
H16 SRR1930122
H17 SRR1930123
H18 SRR1930128
H19 SRR1930132
H2 SRR1930133
H20 SRR1930134
H21 SRR1930136
H22 SRR1930138
H23 SRR1930140
H24 SRR1930141
H25 SRR1930142
H26 SRR1930143
H27 SRR1930144
H3 SRR1930145
H4 SRR1930149
H5 SRR1930176
H6 SRR1930177
H7 SRR1930179
H8 SRR1930187
H9 SRR1930244
ERS2585804 ERR7737618
ERS2585840 ERR7745563
ERS2585869 ERR7738567
ERS2585870 ERR7745335
ERS2585826 ERR7738596
ERS9106181 ERR7746721
ERS2585875 ERR7745423
ERS2585520 ERR7745951
ERS2585809 ERR7738180
ERS2585800 ERR7745874
ERS2585464 ERR7737964
ERS2585592 ERR7738581
ERS2585574 ERR7738627
ERS2585619 ERR7738588
ERS2585621 ERR7738594
ERS2586019 ERR7745906
ERS2585946 ERR7745870
ERS2585947 ERR7745376
ERS2586022 ERR7747324
ERS2586023 ERR7747322
ERS2585949 ERR7746051
ERS2585950 ERR7745539
ERS2586014 ERR7745828
ERS2586081 ERR7738550
ERS2585968 ERR7738530
ERS2585969 ERR7738607
ERS2585970 ERR7738626
ERS2585962 ERR7745994
ERS2585973 ERR7738577
ERS2585966 ERR7745835
ERS2585981 ERR7738536
ERS2585982 ERR7738936
ERS2585974 ERR7738563
ERS2585983 ERR7738595
ERS2585975 ERR7738532
ERS2585976 ERR7738657
ERS2585977 ERR7746048
ERS2585978 ERR7738613
ERS2585985 ERR7738544
ERS2585986 ERR7738576
ERS2586180 ERR7747782
ERS2586058 ERR7738599
ERS2586000 ERR7738598
ERS2585995 ERR7738591
ERS2586064 ERR7738224
ERS2586123 ERR7738190
ERS2586076 ERR7738192
ERS2586013 ERR7745852
ERS2586135 ERR7738603
ERS2586136 ERR7738643
ERS2586127 ERR7738556
ERS2586129 ERR7738661
ERS2586130 ERR7738651
ERS2586302 ERR7737967
ERS2585605 ERR7738630
ERS2585633 ERR7738624
ERS2585625 ERR7738622
ERS2586320 ERR7745823
ERS2586323 ERR7745329
ERS2585654 ERR7737623
ERS2585653 ERR7738566
ERS2586325 ERR7746111
ERS2585670 ERR7746742
ERS2585678 ERR7738198
ERS2585667 ERR7745918
ERS2586331 ERR7738527
ERS2586333 ERR7745990
ERS2586334 ERR7738664
ERS2586335 ERR7745845
ERS2586329 ERR7738579
ERS2585682 ERR7738278
ERS2586341 ERR7746219
ERS2585897 ERR7738587
ERS2585898 ERR7745815
ERS9106184 ERR7746365
